118,231 (100.0%) 1,255 (100.0%) 26,660,577,996 (84.14%) 282,935,075 (71.31%) 24,738,211,582 (78.08%)   234,785,431 (59.17%)  src/blobs/StitchBlobs.cpp:main
105,199 (88.98%)   616 (49.08%)     24,071,453 ( 0.08%)         837 ( 0.00%)         45,714 ( 0.00%)           115 ( 0.00%)  /global/homes/s/swowner/jlbez/darshan-3.4.6/darshan-runtime/lib/darshan-core-init-finalize.c:PMPI_Init
105,199 (88.98%)   616 (49.08%)      6,227,230 ( 0.02%)         752 ( 0.00%)         40,118 ( 0.00%)            87 ( 0.00%)  UnknownFile???:MPIR_Init_thread
105,199 (88.98%)   616 (49.08%)      6,223,134 ( 0.02%)         751 ( 0.00%)         40,118 ( 0.00%)            87 ( 0.00%)  UnknownFile???:PMPI_Init
 96,319 (81.47%)   609 (48.53%)        125,175 ( 0.00%)         641 ( 0.00%)         28,856 ( 0.00%)            32 ( 0.00%)  UnknownFile???:MPIR_T_env_init
 96,223 (81.39%)   605 (48.21%)        124,607 ( 0.00%)         636 ( 0.00%)         28,384 ( 0.00%)            31 ( 0.00%)  UnknownFile???:MPIR_T_cvar_init
 88,843 (75.14%)   436 (34.74%)        115,659 ( 0.00%)         454 ( 0.00%)         21,824 ( 0.00%)             5 ( 0.00%)  UnknownFile???:MPIR_T_CVAR_REGISTER_impl
 53,175 (44.98%)   350 (27.89%)        398,471 ( 0.00%)      10,656 ( 0.00%)              0                      0           UnknownFile???:strdup
 10,900 ( 9.22%)   538 (42.87%)      1,226,293 ( 0.00%)      48,260 ( 0.01%)      1,215,393 ( 0.00%)        47,722 ( 0.01%)  src/netcdf-cxx-4.2/netcdf.cpp:NcVar::get_att(char const*) const
  8,880 ( 7.51%)     7 ( 0.56%)      6,101,463 ( 0.02%)          96 ( 0.00%)         11,102 ( 0.00%)            45 ( 0.00%)  UnknownFile???:MPID_Init
  8,032 ( 6.79%)     3 ( 0.24%)      5,546,133 ( 0.02%)          21 ( 0.00%)              0                      0           UnknownFile???:MPIDI_SHMI_mpi_init_hook
  8,032 ( 6.79%)     3 ( 0.24%)          8,032 ( 0.00%)           3 ( 0.00%)              0                      0           UnknownFile???:MPIDI_CRAY_XPMEM_mpi_init_hook
  6,912 ( 5.85%)   336 (26.77%)      2,092,080 ( 0.01%)       4,440 ( 0.00%)        512,448 ( 0.00%)         3,384 ( 0.00%)  src/blobs/BlobUtilities.h:PrepareBlobOutputVar(NcFile&, NcFile&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, SimpleGrid const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, NcType, NcDim*, NcDim**, NcDim**, NcVar**)
